Rank,Symbol,Market Cap,Price,Date
29,MEM,"$3,078.62",$0.0001942,2013-07-07
28,ARG,"$4,478.05",$0.01305,2013-07-07
27,ALF,"$4,719.67",$0.0007478,2013-07-07
26,KGC,"$4,849.72",$0.001407,2013-07-07
25,BTE,"$7,767.20",$0.008446,2013-07-07
24,GLC,"$8,222.86",$0.0004529,2013-07-07
22,CRC,"$11,977.44",$0.1364,2013-07-07
30,CAP,"$3,017.36",$0.01491,2013-07-07
10,FRC,"$257,105.00",$0.01136,2013-07-14
16,MEC,"$59,963.61",$0.004929,2013-07-14
15,PXC,"$70,514.40",$0.02193,2013-07-14
14,BQC,"$92,091.19",$0.00445,2013-07-14
12,XPM,"$112,816.35",$0.1562,2013-07-14
11,WDC,"$114,748.74",$0.01032,2013-07-14
9,DGC,"$268,640.90",$0.05628,2013-07-14
13,YAC,"$98,606.29",$0.02263,2013-07-14
7,TRC,"$497,606.33",$0.1562,2013-07-14
6,FTC,"$825,730.01",$0.08238,2013-07-14
5,NVC,"$1,230,893.18",$3.98,2013-07-14
4,PPC,"$3,141,319.74",$0.16,2013-07-14
3,NMC,"$3,241,516.48",$0.5397,2013-07-14
2,LTC,"$56,527,626.50",$2.91,2013-07-14
1,BTC,"$1,080,918,189.52",$94.69,2013-07-14
17,IXC,"$51,164.72",$0.003614,2013-07-14
8,DVC,"$341,246.54",$0.00007007,2013-07-14
18,CNC,"$49,271.49",$0.009374,2013-07-14
19,MNC,"$26,893.62",$0.02274,2013-07-14
20,LKY,"$21,326.13",$0.003882,2013-07-14
38,NRB,"$2,136.92",$0.004498,2013-07-14
37,ELC,"$3,107.02",$0.1394,2013-07-14
36,HYC,"$3,390.92",$0.006628,2013-07-14
35,SBC,"$4,248.75",$0.001356,2013-07-14
34,CAP,"$4,987.13",$0.01648,2013-07-14
32,ALF,"$5,967.91",$0.0008243,2013-07-14
31,FRK,"$7,032.11",$0.1894,2013-07-14
30,KGC,"$7,146.42",$0.001516,2013-07-14
33,NBL,"$5,395.37",$0.007026,2013-07-14
28,GLC,"$8,492.58",$0.0004171,2013-07-14
29,MEM,"$7,429.67",$0.0004156,2013-07-14
22,BTE,"$17,723.99",$0.01926,2013-07-14
23,ARG,"$17,298.31",$0.04735,2013-07-14
24,IFC,"$16,894.15",$0.0000003228,2013-07-14
21,FST,"$20,242.07",$0.001888,2013-07-14
26,BTG,"$12,158.87",$0.6865,2013-07-14
27,CRC,"$10,254.50",$0.1101,2013-07-14
25,BTB,"$16,175.30",$3.79,2013-07-14
11,DGC,"$170,031.29",$0.03181,2013-07-21
18,FST,"$55,913.27",$0.004533,2013-07-21
17,CNC,"$62,014.01",$0.0118,2013-07-21
16,BQC,"$77,919.22",$0.003694,2013-07-21
15,YAC,"$81,633.98",$0.0177,2013-07-21
14,PXC,"$126,115.75",$0.03694,2013-07-21
13,WDC,"$145,792.15",$0.0118,2013-07-21
12,MEC,"$161,426.39",$0.01232,2013-07-21
10,FRC,"$244,976.19",$0.01078,2013-07-21
1,BTC,"$1,038,799,169.95",$90.76,2013-07-21
8,TRC,"$487,870.61",$0.1497,2013-07-21
7,FTC,"$882,015.91",$0.08077,2013-07-21
6,XPM,"$1,168,854.58",$1.04,2013-07-21
5,NVC,"$1,204,790.03",$3.85,2013-07-21
4,PPC,"$2,753,787.82",$0.1398,2013-07-21
3,NMC,"$2,962,845.61",$0.4883,2013-07-21
2,LTC,"$57,116,054.34",$2.92,2013-07-21
19,IXC,"$55,740.50",$0.003904,2013-07-21
9,DVC,"$254,344.99",$0.00005173,2013-07-21
20,MNC,"$46,706.59",$0.0389,2013-07-21
25,IFC,"$23,300.62",$0.0000004048,2013-07-21
22,ARG,"$31,939.47",$0.08395,2013-07-21
42,DBL,"$1,044.11",$0.002575,2013-07-21
41,ELC,"$2,395.77",$0.1067,2013-07-21
40,HYC,"$2,414.44",$0.004719,2013-07-21
39,EZC,"$2,686.54",$0.0005398,2013-07-21
38,NBL,"$5,357.45",$0.006903,2013-07-21
21,FRK,"$44,951.35",$1.07,2013-07-21
36,MEM,"$6,858.28",$0.0003455,2013-07-21
35,SBC,"$6,945.30",$0.001997,2013-07-21
34,ALF,"$8,875.94",$0.001075,2013-07-21
33,NRB,"$8,880.02",$0.01602,2013-07-21
37,NAN,"$6,260.25",$0.009121,2013-07-21
31,CRC,"$13,490.37",$0.1448,2013-07-21
30,BTE,"$13,860.23",$0.01504,2013-07-21
29,BTG,"$14,601.53",$0.8168,2013-07-21
28,GLC,"$15,996.61",$0.000726,2013-07-21
27,ANC,"$20,857.49",$0.07034,2013-07-21
26,BTB,"$22,134.27",$4.98,2013-07-21
24,LKY,"$24,405.64",$0.004356,2013-07-21
23,CAP,"$24,485.37",$0.06073,2013-07-21
32,KGC,"$10,302.33",$0.001724,2013-07-21
14,PXC,"$94,141.07",$0.02715,2013-07-28
15,YAC,"$84,116.05",$0.01726,2013-07-28
16,FST,"$72,306.80",$0.005187,2013-07-28
17,BQC,"$64,771.61",$0.003013,2013-07-28
21,CNC,"$30,935.40",$0.005886,2013-07-28
19,IFC,"$48,077.50",$0.0000007742,2013-07-28
20,FRK,"$46,265.64",$1.05,2013-07-28
13,WDC,"$108,739.11",$0.007982,2013-07-28
18,IXC,"$56,788.95",$0.003946,2013-07-28
12,MEC,"$153,304.26",$0.009974,2013-07-28
22,MNC,"$30,404.50",$0.02494,2013-07-28
9,DVC,"$267,289.84",$0.00005387,2013-07-28
8,TRC,"$461,230.76",$0.1317,2013-07-28
7,XPM,"$904,374.13",$0.7232,2013-07-28
6,FTC,"$1,013,854.40",$0.08781,2013-07-28
5,NVC,"$1,976,019.96",$6.01,2013-07-28
4,PPC,"$2,721,121.82",$0.1377,2013-07-28
3,NMC,"$3,755,531.57",$0.6135,2013-07-28
2,LTC,"$59,091,798.36",$2.98,2013-07-28
1,BTC,"$1,144,602,625.00",$99.76,2013-07-28
11,DGC,"$177,525.47",$0.02993,2013-07-28
23,ANC,"$28,931.47",$0.08866,2013-07-28
10,FRC,"$208,635.46",$0.009078,2013-07-28
25,GLC,"$22,716.15",$0.000961,2013-07-28
46,EZC,"$1,445.40",$0.0002643,2013-07-28
45,JKC,"$1,764.04",$0.0002671,2013-07-28
44,SPT,"$2,089.43",$0.009975,2013-07-28
43,NAN,"$2,688.21",$0.003881,2013-07-28
42,DBL,"$2,718.40",$0.00614,2013-07-28
41,HYC,"$2,815.57",$0.005498,2013-07-28
40,NBL,"$2,853.78",$0.003043,2013-07-28
39,ELC,"$4,486.88",$0.1995,2013-07-28
38,NRB,"$5,092.69",$0.008761,2013-07-28
47,LBW,$910.99,$0.004389,2013-07-28
37,MEM,"$5,185.58",$0.0002403,2013-07-28
24,LKY,"$26,812.18",$0.004669,2013-07-28
35,SBC,"$5,646.95",$0.001497,2013-07-28
34,XNC,"$8,026.24",$0.00005355,2013-07-28
33,CRC,"$11,550.82",$0.1239,2013-07-28
32,ALF,"$14,508.08",$0.001631,2013-07-28
31,BTG,"$14,591.25",$0.7981,2013-07-28
30,KGC,"$15,659.00",$0.002176,2013-07-28
29,ARG,"$17,087.61",$0.04389,2013-07-28
28,BTE,"$17,952.63",$0.01945,2013-07-28
27,BTB,"$18,330.50",$3.99,2013-07-28
26,CAP,"$22,549.89",$0.0451,2013-07-28
36,CSC,"$5,638.86",$0.004191,2013-07-28
15,YAC,"$106,721.68",$0.02061,2013-08-04
16,MNC,"$90,902.20",$0.0736,2013-08-04
17,PXC,"$80,723.76",$0.02325,2013-08-04
18,FST,"$63,341.24",$0.004075,2013-08-04
23,GLC,"$54,629.97",$0.002147,2013-08-04
20,CBX,"$61,609.39",$0.1122,2013-08-04
21,IXC,"$55,861.82",$0.003839,2013-08-04
22,IFC,"$54,746.55",$0.0000008052,2013-08-04
14,MEC,"$116,160.07",$0.007361,2013-08-04
19,BQC,"$63,307.39",$0.002891,2013-08-04
13,WDC,"$123,167.02",$0.008433,2013-08-04
8,XPM,"$889,983.29",$0.6487,2013-08-04
11,DGC,"$227,201.16",$0.03529,2013-08-04
10,DVC,"$321,340.28",$0.00006414,2013-08-04
9,TRC,"$596,396.30",$0.1693,2013-08-04
7,NVC,"$1,855,987.14",$5.46,2013-08-04
6,FTC,"$2,066,053.89",$0.1661,2013-08-04
5,PPC,"$3,194,186.00",$0.1609,2013-08-04
4,NMC,"$3,844,310.07",$0.6214,2013-08-04
3,XRP,"$45,983,543.33",$0.005882,2013-08-04
2,LTC,"$60,288,260.68",$3.01,2013-08-04
24,CNC,"$50,290.86",$0.009568,2013-08-04
12,FRC,"$158,973.60",$0.006834,2013-08-04
25,ANC,"$31,144.55",$0.09463,2013-08-04
1,BTC,"$1,209,792,869.08",$105.14,2013-08-04
27,FRK,"$27,876.58",$0.6203,2013-08-04
26,LKY,"$29,749.91",$0.005099,2013-08-04
50,EZC,"$1,580.38",$0.000263,2013-08-04
49,JKC,"$1,862.38",$0.0002818,2013-08-04
48,HYC,"$2,491.61",$0.004865,2013-08-04
47,LBW,"$2,581.40",$0.006309,2013-08-04
46,DBL,"$2,585.58",$0.005126,2013-08-04
45,ELC,"$2,653.33",$0.1178,2013-08-04
43,NBL,"$4,053.02",$0.004312,2013-08-04
42,NRB,"$4,436.24",$0.007482,2013-08-04
41,XNC,"$4,593.15",$0.00002952,2013-08-04
40,SBC,"$5,538.51",$0.001398,2013-08-04
44,SPT,"$2,739.77",$0.008837,2013-08-04
38,GLC,"$6,699.43",$0.0004816,2013-08-04
39,MEM,"$5,845.20",$0.0002456,2013-08-04
29,ARG,"$16,856.82",$0.04312,2013-08-04
30,BTE,"$16,541.88",$0.01787,2013-08-04
31,BTB,"$16,074.56",$3.36,2013-08-04
32,CSC,"$14,231.13",$0.007259,2013-08-04
28,CAP,"$17,060.19",$0.02839,2013-08-04
34,CRC,"$12,671.94",$0.1358,2013-08-04
35,KGC,"$11,865.00",$0.001416,2013-08-04
36,ALF,"$11,007.47",$0.001189,2013-08-04
37,EMD,"$7,547.09",$0.005504,2013-08-04
33,BTG,"$13,796.80",$0.7465,2013-08-04
14,YAC,"$115,933.19",$0.021,2013-08-11
23,FST,"$40,527.43",$0.002364,2013-08-11
22,BQC,"$47,034.52",$0.00211,2013-08-11
21,GLC,"$52,649.41",$0.002052,2013-08-11
20,PXC,"$71,820.28",$0.02068,2013-08-11
19,CBX,"$75,822.86",$0.1281,2013-08-11
18,IFC,"$80,005.13",$0.000001133,2013-08-11
17,IXC,"$85,022.82",$0.005784,2013-08-11
16,MNC,"$87,569.47",$0.07005,2013-08-11
15,MEC,"$93,483.78",$0.005924,2013-08-11
13,WDC,"$126,981.80",$0.00819,2013-08-11
1,BTC,"$1,211,789,250.00",$105.00,2013-08-11
11,DGC,"$212,140.22",$0.03099,2013-08-11
10,DVC,"$286,724.52",$0.0000567,2013-08-11
9,TRC,"$655,735.09",$0.1806,2013-08-11
8,XPM,"$1,351,773.92",$0.8832,2013-08-11
7,NVC,"$1,799,905.11",$5.15,2013-08-11
6,FTC,"$2,001,729.80",$0.1523,2013-08-11
